,title + body
5296,"The Financial Supervisory Service investigated the institutions and bought Line Bus Maedong Boni Exchange Inverse Exchange Gob Bus Kosdaq Inverse Setda Institutions alone, especially Gob Bus, a whopping 10 million shares in recent female trading days alone. It's like a forced ant credit stealing operation. There is a reason why the economy TV is acting so viciously. Even at the end of the month, there was a time when credit decreased by hundreds of billions of dollars a day. It was very vicious at the end of the month and the beginning of the month. The FSS finds the relevant institutions and investigates them. Do not delay the investigation and do it very publicly. Investigate and give a disadvantage even if there is no problem. I checked the exchange and KOSDAQ leverage as well, and the same is true for the month of the month and the beginning of the month."
5297,"am the stock king who sheds tears, Dana is the stock emperor who sheds tears, and tells the story of the success story of Boram Investment Plaza Chairman Woo Young-doo, who became the main character of paying billions of billions in stock capital gains tax from poor credit. He wanted to improve the quality of life by conveying the wisdom, blessings and hopes he shared with his acquaintances from the sky he received help to to those who are in dire need. Let's meet the reality of the global financial structure and the fight between individuals and companies in the clogged stock market"
5298,ㅎㅇㅋ The atmosphere here is also giblets. Give me a recommendation for samjeon or cacao.
5299,"Yoon Seok-Yeol Risk Seeing that outsiders are leaving our stock market, Yoon Seok-Yeol Risk I put it in a developed country as if I had foreseen it, but it will become a developing country again. Leaving the Blue House in perfect condition until the right time, doing government shopping before the office and taking a walk around the dog."
5300, Yoo Young Doo Elliot
5301,"View Woong Scenes Gathering Sona How long have you been bitten, can’t sleep, can’t eat rice, don’t have money to spend Who is this?"
5302,"Do you want to make money with stocks? The process of becoming trash, a normal person, starting introductory stocks, making money from stocks around the beginning of the stock market Changed to top-bitten account halved over male stock market scare Knowing and studying Futures Overseas stock market glances Early profit spring now Loan to make up for loss Lever inverse ship Stock gathering Coin box Bit truna Knockdown Account over loss Tesla Looking at the same chart, I’m sure I’ll keep selling and holding on to the same chart, even though it’s only a few profits, I go around the discussion room every night, and I go to the lower and lower charts and play with experts, recruiting people, pretending to be experts, setting up notifications, pretending to be experts, setting up alarms, making a living while working part-time, earning pocket money Minimum hourly wage"
5303,Kakao Balance Quantity Based on today's stock
5304,"Until the first half of last year, the blast must have been a dream"
5305,"Be strong, Super Powell"
5306,"ㅋ When I narrowed the chart, I drew a landscape painting with high peaks and deep valleys."
5307,Why are you making people so disgusting that the US should dismantle nuclear weapons while letting others not make it? Complete idiots
5308,"Lee Sang Investment Group's stock leadership is a scam Don't be scammed like me In the booming period, they falsely advertise that profits are guaranteed by performance, but when you look at it in reality, they do not have enough skills and it is difficult to lose money at the peak. You entice ants with false advertisements. After recruiting members, if the contract period is over half, you will lose the member, so take care of it. The more expensive the member, the worse. Please do not go to hell after signing up."
5309,"Hey, I hope I'll fall today too, fall off"
5310,Employees are blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah
5311,"Today, from the beginning of the feeling, the blue flowers have bloomed in full bloom. The wind is blowing in a downward trend all day. The closing is also the lower limit."
5312,"Recession is coming - The answer is to throw it now, even if it's sluggish for years"
5313,"If Christmas falls on Saturday or Sunday, please designate Monday as a substitute holiday"
5314,"If you get hit in the back once, you won't do it again, be careful"
5315,"If you get hit in the back once, you won't do it again, be careful"
5316,"Condolences came, I'm going to eat a lot of yukgaejang today too ㅋ I'm a little girl in the Han River Haha I'll eat a bowl of meat and makgeolli to my heart's content."
5317,"Company executives who only talk about the future, new technology, mobile, etc. A company that only talks and jokes about stocks You have no right to discuss future technology with the company."
5318,Is Netflix Bad or Cacao Bad?
5319,"Large-cap fair value Samsung Electronics KRW 10,000 LG Electronics KRW 10,000 Hynix KRW 10,000 LG Ensol KRW 10,000 Naver KRW 10,000 Kakao KRW Samsung KRW 10,000 LG Chemical KRW 10,000 Hyundai Motor KRW 10,000 Kia Motor KRW 10,000 Celltrion KRW 10,000 Hanmi Pharmaceutical KRW 10,000 Shinhan Holdings KRW 10,000 Hana Financial Group KRW 10,000 Samsung Life KRW 10,000 Samsung Fire KRW 10,000 Samsung SDS 10,000 won Korea Electric Power 10,000 won 10,000 won Telecom 10,000 won U Plus 10,000 won This is the price I've been shouting since last year"
5320,"Today as always, it is a formula for missing gifts."
5321,What do you have to say about the Jewish money?
5322,Measures to be taken in public auction are needed. Government measures are urgently needed.
5323,finally kaka
5324,"I'm so happy to be president Yoon, please blow the stock bubble. Let's buy a stock too."
5325,This is a summary of the interpretation of the remarks of the Powell hearing.
5326,Kakao price surges before opening and goes down to Fake Nevada Evidence of mischief
5327,Today's closing price forecast
5328,"Before the upturn, I will go after a terrible fear drop soon"
5329,"surge in counter-trading is fueling the downtrend Investments made by individual investors in debt are fueling the stock market decline According to the Il Financial Investment Association, the daily average counter trading volume has recently exceeded 100 million won, showing a high level. This was the highest figure since last year. It was almost twice the daily average counter trades of 100 million won last year. In a situation where the stock market is showing great volatility, it is an analysis that a vicious cycle is appearing in which the stock price declines further as items for sale that did not pay off money or sell the stock in advance come to the market as a counter sale. It is structured to borrow money from a securities company to buy stocks and repay the money, but if the payment is not made within the trading day, a reverse transaction is made. According to the researcher, the number of counter-trading increases as the stock price declines continuously, and it is estimated that a vicious cycle occurs when the decline intensifies. The analysis explained that the increase in stock purchases through credit in the process of the stock price surge in the year when the Donghak ant craze blew after the novel coronavirus infection corona is acting as a burden in the process of the stock price decline. The stock price surged after the stock price plunged, so it is still at a high level compared to the pre-COVID level, both in absolute terms and relative to the market capitalization. As of the last day, the credit balance recorded a total of 100 billion won, including KRW trillion in the KOSPI and KRW trillion in the KOSDAQ. Analysts analyzed that the lack of incentives to buy at the trough and the increased selling pressure, including counter-trading, estimated that individual investors would have lost more than the current index after investing through credit loans. Researcher Choi said that it is possible that the inflows have been repaid before, but it is clear that the amount of inflows near the peak of the index is significant. If it occurs, he explained that there is a possibility that it will face a downtrend that exceeds the extent of fundamental damage due to selling pressure. The enormous amount of less than a trillion and a half is the amount that individual investors are estimated to have lost more than the current index after investing with credit loans."
