	제목+본문
6199	이 금액은 빨리 담아라 담아앞으로는 계속 올라간다 빨리 담아라 더 이상 올라가면 무서워서 못 산다 빨리 빨리 담아라 담아 무조건 팔지 말고 종가를 기다려라
6200	카카오자 붙은 기업은 다 망해야회사 한군데서 하면될걸다 레고블럭처럼 쪼개놓고탐욕에 미친 김범수 폭망하길
6201	사기꾼 새끼 ㅋㅋㅋ접어라얍삽하고 드러운새끼
6202	단독 김범수 카카오 의장 억 분당 초호화 주택 최초 공개  비즈한국개미 피빨아먹고 억 집삼 ㅋㅋㅋ 개 앰이 뒤질련임비즈한국 년 직원 명과 함께 모바일 메신저 카카오톡을 만들어 년 만에 자산 조 원 규모의 대기업을 일군 김범수 카카오 이사회 의장 겸 카카오임팩트 대표이사가 년 전 서울 강남구 도곡동을 떠나 경기도 성남시 분당구 하산운동에 새 둥지를 튼 사실이 비즈한국 취재 결과 확인됐다 년 월 분양받아 년간 살았던 도곡동 로덴하우스는 지난 월 억 만 원에 매각됐다김범수 카카오 의장 겸 카카오임팩트 대표이사 사진카카오 제공김범수 카카오 의장 겸 카카오임팩트 대표이사 사진카카오 제공년 월생인 김범수 의장은 만 세의 나이에 년간 일했던 삼성를 퇴사하고 대학 시절 고스톱과 당구를 치며 놀았던 경험을 살려 퇴사 개월 만인 년 월 온라인게임사 한게임커뮤니케이션을 설립했다 사업가가 된 지 년 만인 년 월 경기도 성남시 분당구 정자동에 위치한 주상복합아파트 로얄팰리스 층 한 호실을 분양받았다 년 월 로얄팰리스가 완공됐고 한 달 후 아내현 세 당시 세 아들현 세 당시 세 딸현 세 당시 세과 함께 이 아파트에 입주했다김범수 의장은 평형 로얄팰리스 층 아파트 평에 사는 동안 삼성 동기였던 이해진 네이버 글로벌투자책임자 겸 라인 회장과 함께 현 네이버에서 공동 대표이사 해외사업 총괄 대표를 지냈다 정확한 시점은 알려지지 않았으나 로얄팰리스에 거주하면서 아내와 두 자녀를 미국으로 유학을 보내 일명 기러기 아빠 신세가 됐다
6203	회사능력이 안됨한국에 개뿐인 아이티라계속 쓰레기같은 문어발경영이네이버랑 같이 엮여서 움직이는게너무 짜증나내실이 탄탄한 회사랑 빈껍데기 회사랑왜자꾸 엮는건데ㅜ짜증
6204	국내게임사 최초 세계위모바일시장 매출위 달성돈에 섭외된 언론기자들 일언반구아래 컴퍼스가 드디어 일매출 억 이상은 충분한 일본매출 위 배경이다컴퍼스  니아 오토 마타  코라보 오늘부터 개최년 월 일 주식 회사본사도쿄도 미나토 구 대표 이사 사장정 우진 이하  과 주식 회사 도완고본사도쿄도 츄오구 대표 이사 사장나츠노 타케시 이하 도완고가 제공하는 용 실시간 대전 게임 컴퍼스 전투 섭리 해석 시스템 이하컴퍼스에서 세계적 인기 게임 액션 이하 니아 오토 마타와의 협업을 오늘 년 월 일월부터 개최합니다새 코라보 영웅에는가 참전합니다 기간 한정으로 카드 출현율이 상승하는 픽업 차 드가 차를 초 영웅 딸그락 코스튬 딸그락 로그인 보너스 등의 코라보 기념 행사를 실시합니다 컴퍼스와 니아 오토 마타의 세계를 즐기세요개최 기간 년 월 일월 년 월 일일 새 코라보 히어로등장 등장정식 명칭욜두호 형욜부대에 소속하는 범용 전투 모델의 안드로이드이시카와 유이니아 오토 마타픽업 카드 가카드 출현율 배 카드 출현율 배 협업 카드 출현율 배개최 기간 년 월 일월년 월 일일니아 오토 마타협업 히어로 가챠가 코라보 의상이 꼭 출현개최 기간 년 월 일월년 월 일월니아 오토 마타협업 코스튬 소개저스티스파스칼마미야 야스히로리리카뽀뽀루아오키 시키영 밤사이토 장마루루 카마데볼시 지뢰 가나기쓰네 소감 색하나자와 카나멱회 윤회아담에구치 타쿠야 코라보 기념 로그인 보너스 캠페인매일 로그인하고 보너스를 챙기개최 기간년 월 일월년 월 일일기간 중에 일 로그인 하는 것으로 모두 받습니다첫날카드 에너지일째골드 칩 장일째티켓 장일째프리 금메달 장일째백금 칩 장일째백금 칩 장일째계정 아이콘         컴퍼스 전투 섭리 해석 시스템 에 대해서 컴퍼스전투 섭리 해석 시스템 은 팀 명에서 친구들과 팀 구성배틀 분간에서 상대 팀과 스테이지에 배치된 거점을 다투어 실시간 대전 게임입니다 또 스킬 카드를 모아 편성에 따른 다양한 전략에서 최강의 덱을 만들어 대전에 대비할 수 있습니다 액션 게임 전략 게임 카드 게임의 요소를 배틀 분에 응축하고 집어 넣은 전혀 새로운 장르의 스마트 폰 게임입니다공식 사이트 책 프로젝트는  이 게임 시스템의 개발운용을 다룬다 도완고가 이 회사의 동영상 서비스에서 활동하는 크리에이터에 의한 제작 등 양사의 강점을 살리면서 게임 기획 개발부터 디자인 음악 제작 게임 현장에 이르기까지 가고 있습니다컴퍼스는    전투 섭리 해석 시스템의 약칭으로 배틀을 통해서 플레이어들이 커뮤니케이션을 맞잡고 가짜 의 세계를 무대로 한 게임입니다 현실의 에 가까운 기능을 가지고 있으며 배틀만 아니라 플레이어끼리 게임 공략 법을 나누면서 대회 행사에 대한 정보 교환하는 장소를 제공 하겠습니다 게임 개요제목컴퍼스 전투 섭리 해석 시스템장르 실시간 온라인 대전 게임대응 단말 이후    이상대응 언어일본어서비스 지역일본서비스 개시일년 월 일가격기본 무료아이템 과금개발 기획 운영 주식 회사 주식 회사 도완고       공식 사이트 및 로고는 미국 및 기타 국가에서 등록된   의 상표입니다  는   서비스 마크입니다 및  로고는  의 상표입니다 및 로고는   또는 그 관련 회사의 상표입니다기재되어 있는 회사 이름 및 제품명은 각사의 등록 상표 또는 상표입니다기재된 내용은 발표일 현재의 것입니다 이후 예고 없이 변경될 수 있습니다일람으로 돌아온다개인 정보 보호 방침 정보 보안 정책 소셜 미디어 정책  
6205	관상은 과학이다김범수 얼굴은 관상학적으로 봤을때 사기꾼 얼굴이다특히 염가스럽게 자란 수염이 그 주장을 더 뒷바침한다어쩌면 북조선인민공화국 출신일지도 모른다내 말에 동의하면 김범수 ㄱ ㅅ ㄲ 해봐못하면 빨갱이
6206	문재인 대통령님 감사합니다언제나 국민을 위해 노력해 주셔서 감사했습니다대한민국 역사상 전무후무한 국민의 대통령이셨습니다
6207	윤서결 ㅋㅋㅋ뽑아놨더니 ㅋㅋㅋㅋㅋㅋ 카카오 폭망
6208	연기금 간부들 숙청하라때 과열 명분으로 패대기이해하지만 때 방어는 커녕 국민 혈세를왜놈들과 합세하여 패대기치는 매국노공매도 세력과 다른점이 있는지
6209	개미무덤ㅜㅜ 기본
6210	년기다린다만원은 가것지
6211	야 젖된거 같다수출한거 돈들어와서 환율좀 내려가드니약발 끝났네 그럼 이제 오를일만 남았네
6212	층살려주세요
6213	년을 쳐 박히는데왜 회사는 가만히 있나 범수랑 대표 나와러 뭐라도 해라이게 뭐 하자는 짓이야 주주 다 죽이는게 너희들 목표야
6214	환율 슈팅 카운트 다운터질때가 됐지
6215	영두 화이팅 ㅋㅋㅋ만원 팍
6216	리딩방충들 활개치네 ㅋㅋㅋㅋ누가보면 쪽집개인줄 ㅋㅋㅋ
6217	가라가
6218	카카오 꽃배달미용실 치킨 식당 이런거 해야지  망할기업아ㅋ
6219	카카오란폰지
6220	한번더 갔다오자날씨도 더운데 시원하게 자한번 보고오자 파란 폭포수 한번 맞자
6221	아직 차폭락남아잇어왜사냐 지금ㅋㅋ기대해라
6222	만일대자일때 탈출해라한번 개미 꼬신후 다 털어먹는다답없다
6223	개미들이 기관에게 대응하는 방법혼자서는 절대 기관을 이길수 없습니다뭉쳐야 살 수 있습니다들어오셔서 세력들의 관심종목 알아보시고대응해보도록 하죠
6224	빨리 빨리 매수하자카카오는 이 금액을 싸다 빨리 빨리 담아라 담아 기회가 왔을 때 빨리 담아 담아 마지막 기회다 명심해라
6225	우리사주맨붕이냐
6226	이 정도 가격이면 임원진들의 매수 행렬이라도 있어야 하는데이 의 임원들은 먹튀만 할 줄 알지주주의 고통을 나누려고 하는 놈이 하나도 없단 말이가도대체 왜 국민주 한다고 액분을 했냐 범수랑 대표 뭐라도 좀 하라고 제발
6227	카카오없이 살수있냐카카오곧 만 간다
6228	카카오없어도 삶의질 안변해이게 무슨 알파벳 애플 마소같이 영향력 큰 기업인줄아나페북 인스타 보면 모르냐다른 플랫폼앱 이용하면 그만이다
6229	오카오 오카오 오카오 오카오 오카오 오카오
6230	삭제된 게시물의 답글계속 얘기한다너나도망가
6231	적당히 떠들고 올라가자이제는 힘을 합쳐서 올라가자 영차영차 올라가자
6232	니기미어제는 꼴랑  올리고 오늘은  빠지냐
6233	올라갔으면 내려올줄도 알아야지ㅋㅋㅋㅋㅋ
6234	원까지는 계단식 하락지금 팔자
6235	까지 내려라쭉쭉내려라 카카오개룹 스멀들아
6236	개미 털기 그만 하고 올라가자빨리 빨리 올라가자
6237	설마 유앵두믿고 카카오 존버 하신분 없죠지금도 유튜브서카카오간다고 떠들던대인적분할 얘기하고제 지인이 이분 광팬인대노답
6238	주주여러분 장기투자 아시죠니 장기 털리는 투자 ㅋ 팍
6239	카카오모빌리티 매각하면 카카오는 뭘로돈버냐플랫폼이다 뭐다 외치면서 쥐뿔도 기술도없자나카카오이모티콘팔아서돈버냐ㅋㅋ영익이 작년에천억이었나삼전분기영업이익이조니까년동안 처모아야조네것두모빌매각하면 나락이쥬ㅋ정권바뀌니까 튀는거쥬ㅋ
6240	다 쪼개발라놓고무슨 가치가 있나이 ㄱㅈㄱㅌ 기업액분전 만원이 적정가김범수 이 생긴것도 꼭 오소리 같이 생겨쳐먹은게 탐욕에 눈이 뒤집힌 쉐키야차라리 네이버를 사라 물적분할이라도 안한
6241	개카오짜증나네 애플이나 구글로 갈아타야지
6242	망해라톡 하나로 뽕을 뽑는구나ㅋ 먹튀 그만해
6243	나는 눈물흘리는 주식황제다 나는 눈물흘리는 주식황제다신용 불량자에서 주식 양도소득세 수 십억 납부 주인공이 된 보람증권플라자주 유영두 회장의 자서전 이 자서전은 단순히 남에게 과시하기 위함이나 자신의 족적을 남기기 위한 자랑용 혹은 전시용이 아니다 주식 양도소득세 억 납부의 주인공이 되기까지 진정 자신이 도움을 받았던 하늘에서부터 여러 지인들과 나눈 지혜와 축복과 희망을 현재 절실히 필요로 하는 이들에게 그대로 전하고 있다이 책에서는 유영두 라는 한 인간의 성공스토리를 그리고 있지만 그 성공 배경은 분명 색다르다 누구나 한 번쯤은 꿈꾸어 봤을만한 주식황제가 되기 위해 반드시 거쳐야 했을 숨 막히는 주식 시장의 개인간 기업간 암투와 세계 금융 구조의 실체가 주요 무대로 등장한다제목에서 암시하듯 그는 성공을 이루기까지 두 번의 눈물을 흘리며 온갖 고난과 역경을 이겨낸다 꿈과 부귀를 안겨주던 주식이 하루아침에 휴지조각이 되고 마는 주식시장에서 살아남기 위한 분투의 과정과 희열이 주름진 인생사와 버물리면서 대 독자들에게는 희망의 물씨를 어느새 꿈을 잃고 삶에 지쳐가는 대 독자들을 깨워주기에 충분한 지침서가 된다목차첫번째 눈물 값진 좌절을 맛보다나는 증권맨이 아니다불운과 행운은 오래된 연인같은 존재다와신상담유영두와 엘리엇의 운명적인 만남두번째 눈물 화려한 인생 절정으로 질주하다왕의 귀환 증권가로 돌아오다유료 투자 강연회의 신화가 되다다시 찾아온 시련물러설 곳이 없을 때 강해지는 것이 사람세번째 눈물 혼돈 속 중심을 잡다내 인생의 절반 증권맨주식 양도소득세 수십억의 신화세금 내는 슈퍼 왕개미성공의 비결초보에게 하고싶은 이야기아직 흘리지 않은 세 번째 눈물에필로그인생은 주식과 같다접기책속에서나는 말 그대로 바닥까지 내려갔다사태로 신용 불량자도 되어봤고 갈 곳이 없어 서울역에서 잠을 자고 배를 곯아보기도 했다 사채업자가 칼들고 찾아온 적도 있었고 죽기 위해 한강에도 가봤다은하수 모양이 엘리엇의 사다리모양 파동으로 오버랩되었다내가 잘못봤나 싶어 자리에서 벌떡 일어나 두 눈을 비비고 다시 봤더니 여전히 그 모습으로 나에게 천천히 다가오는 듯 했다 마치 무슨 계시를 전하려는 것처럼내 예상대로 년 월일 삼성전자와 현대중공업 가격이 만원대로 거의 같아졌다이제 나는 마침내 유령의 실체를 두 눈으로 확인했다 진짜 유령이 존재하는구나 그리고 년 갬투자가들은 서브프라임모기지론 사태로 주식파산자들이 되어 길바닥에 내버려졌다얼마 전 수십억원의 세금을 내면서 나는 또 한 가지 결심을 했다나는 내가 수백억원을 세금으로 낼 그날을 만들 것이다 수 백억원이면 웬만한 중소기업의 자산보다 높은 수치다 나는 이 금액의 세금을 납무하는 그날을 만들 것이다
